0,-1563527.30,363144.21,1193371.43,538331.09,4204855827.10,204824232.46
1,-1085279.93,303566.08,781713.85,360207.74,5004364670.58,259821799.56
2,-954003.93,285264.24,668739.69,316246.50,4102097801.83,234449253.06
3,-858440.25,277066.16,581374.09,279477.77,2517652701.57,222580712.70
4,-757760.92,261908.46,495852.46,238884.77,1840012520.75,217627772.55
5,-714007.47,255022.16,458985.31,215352.18,1610580513.47,211303495.88
6,-660980.48,247863.68,413116.80,195791.53,1255220471.53,204037305.50
7,-568996.61,237259.09,331737.52,146645.79,908137067.67,197183037.00
8,-526356.68,227172.12,299184.56,127654.94,705791195.62,194267966.83
9,-506571.74,212725.82,293845.92,125499.81,518112137.75,188837252.14
10,-486793.10,213314.02,273479.08,113352.72,419183600.26,184560546.62
11,-475230.74,214243.89,260986.84,105643.65,373129167.41,182149925.91
12,-462529.59,213229.94,249299.65,99043.54,355292921.20,179455603.94
13,-457687.29,205071.63,252615.66,101337.05,338058016.45,176354930.33
14,-443823.15,204632.02,239191.13,93795.79,315429247.35,174053458.62
15,-429571.27,201858.74,227712.53,87567.17,286922077.93,171174070.11
16,-422995.90,200375.91,222619.99,84986.92,274620373.36,169083128.58
17,-414247.77,197343.35,216904.42,81363.10,264122082.82,167343275.32
18,-417743.52,199077.21,218666.30,82580.99,261481900.99,165358692.35
19,-410753.08,197150.70,213602.38,79417.97,258335392.91,163602172.42
20,-402595.99,193589.09,209006.91,76732.54,242075846.50,161251223.94
