0,-1502197.08,478162.03,1012868.31,332107.84,10823501824.39,79306198.57
1,-1387664.98,459532.45,928132.53,317534.20,12342330906.41,58796773.02
2,-1331015.56,481242.18,849773.38,299071.16,9600737513.73,88807526.35
3,-1168814.00,440647.09,728166.91,272485.19,5887000456.05,142884901.66
4,-1081751.37,460144.67,621606.70,235823.26,4775761479.37,172932587.66
5,-1054037.12,446788.94,607248.18,231809.61,4852075174.14,178219256.62
6,-988344.88,432579.68,555765.21,221791.88,4581315532.84,181519762.61
7,-1025003.84,434328.45,590675.39,229402.33,4153874007.41,189616409.80
8,-790275.72,391839.54,398436.19,173441.90,3339544881.41,194661249.57
9,-786593.87,403172.15,383421.72,157120.41,2946297851.98,186291610.79
10,-856217.24,417470.65,438746.58,179553.11,2872056214.60,188219704.69
11,-772974.25,394337.07,378637.19,157398.84,2757579834.26,189686727.09
12,-690023.72,373873.17,316150.55,133086.56,2311090275.53,189276738.99
13,-654765.89,357636.32,297129.57,125582.73,1826376821.30,189599267.48
14,-651565.49,365236.81,286328.68,115078.63,1540602852.66,191783350.37
15,-620907.33,359784.66,261122.67,109672.32,1389330261.34,190510878.33
16,-591413.85,356840.89,234572.97,95703.61,1233877767.51,189917544.43
17,-565843.07,347241.72,218601.35,86634.61,1106596998.11,189253319.77
18,-569218.48,345957.59,223260.90,87066.02,1062766339.37,186327499.77
19,-551585.51,339724.68,211860.83,85968.84,1015563736.43,184109300.86
20,-532312.82,331769.98,200542.85,76798.94,909027319.08,180885647.56
21,-512508.32,324535.83,187972.50,72363.43,842815876.16,177380174.62
